date,pnl,cum,delta,target_delta,stress,trend,tail_active
2020-08-10,1.4827317952119727,82.59400201910185,0.2237554647175639,0.2,1.0,1.0,1.0
2020-08-11,0.31174573411597667,82.90574775321782,0.22812457200716463,0.2,1.0,1.0,1.0
2020-08-12,0.3498987785482856,83.2556465317661,0.23390394406558446,0.2,1.0,1.0,1.0
2020-08-13,-1.7173879612787288,81.53825857048737,0.2058494432591632,0.2,1.0,1.0,1.0
2020-08-14,1.1288857744121428,82.66714434489951,0.21939533436287217,0.2,1.0,1.0,1.0
2020-08-17,2.028010781757518,84.69515512665703,0.5,0.5,1.0,1.0,1.0
2020-08-18,1.3699198194869033,86.06507494614394,0.20000000000000007,0.2,1.0,1.0,1.0
2020-08-19,0.9474216950074179,87.01249664115136,0.20319027824939384,0.2,1.0,1.0,1.0
2020-08-20,-2.2801555269972873,84.73234111415407,0.5,0.5,1.0,1.0,1.0
2020-08-21,-2.78962651775621,81.94271459639786,0.4940071195652199,0.5,1.0,1.0,1.0
2020-08-24,0.5928269388598817,82.53554153525775,0.49866675575335584,0.5,1.0,1.0,1.0
2020-08-25,0.7913386597718742,83.32688019502963,0.9450163602042304,0.9450163602042304,0.0,1.0,0.0
2020-08-26,2.706288862704762,86.0331690577344,0.9450163602042304,0.9372324801917139,0.0,1.0,0.0
2020-08-27,0.8520020570826353,86.88517111481703,0.9450163602042304,0.936638662026991,0.0,1.0,0.0
2020-08-28,2.7110243302355976,89.59619544505263,0.9450163602042304,0.947908235758948,0.0,1.0,0.0
2020-08-31,4.077472059295767,93.6736675043484,0.9450163602042304,0.9508331275054072,0.0,1.0,0.0
2020-09-01,-3.1037576218179885,90.56990988253041,0.9450163602042304,0.9435472330727871,0.0,1.0,0.0
2020-09-02,-0.6818771406155212,89.88803274191488,0.9450163602042304,0.94813108635151,0.0,1.0,0.0
2020-09-03,-4.2627043380528775,85.625328403862,0.9450163602042304,0.9295410966556595,0.0,1.0,0.0
