Date,close,return,rv_m,rv_l,atm_iv,garch,regime,month,vrp,vrp_z,rvr,rvr_z,garch_z,regime_vol,rho_sv,vol_of_vol,tradeable,garch_median,garch_high,is_jump,jump_count_30d,no_jump_cluster,signal,dow
2020-05-21,244.03977995,-0.011032680871503516,0.1810428502224691,0.2900406424427181,0.15822613333798946,0.2230028681660051,0.27060782204263856,5,-0.022816716884479643,0.7348295122149984,0.9312094151105046,-0.2343718890941281,0.08751399703744435,0.21387334985060646,-0.212311389278954,0.22957542547968077,True,0.16427131384370344,True,False,1.0,True,0,3
2020-05-22,239.4980251,-0.018786073698848656,0.190696601974116,0.29257840411709435,0.16843035943859722,0.21779134008623355,0.27538847893077684,5,-0.022266242535518788,0.7721525845986482,1.0169471323268204,-0.08904006799778416,-0.04823958053378158,0.21459245097821505,-0.2151380720293091,0.22959619899664263,True,0.1643026368194097,True,False,1.0,True,1,4
2020-05-26,242.70466975,0.013300182491803234,0.19604812569439975,0.29286808163156747,0.16896517858706647,0.22379590594149215,0.23293336619647695,5,-0.027082947107333277,0.6163704897226001,0.7588614184657665,-0.5588816868663583,0.055069866368029304,0.2082063998236692,-0.21287572430426493,0.22965329853878375,True,0.164333959795116,True,False,1.0,True,1,1
2020-05-27,239.1670546,-0.0146830723944996,0.20285551873247373,0.2911432470873907,0.1767660178555874,0.22081490061830075,0.20721446068041693,5,-0.02608950087688633,0.6652190904761567,0.8297742327152944,-0.4212793867661196,-0.03665651112128649,0.2043377904693052,-0.21434670669235664,0.22975228342460577,True,0.16451563275548353,True,False,1.0,True,1,2
2020-05-28,242.27629192,0.012916496073930582,0.2046647735542811,0.2918126751418443,0.17616459985179245,0.2203067009888321,0.16492882370578132,5,-0.02850017370248864,0.5958099746046942,0.7822813475728307,-0.4955357044978139,-0.06574801645445573,0.1979772316712971,-0.21264628798674476,0.22971666346103892,True,0.16469730571585103,True,False,1.0,True,0,3
2020-05-29,243.45593216,0.004857172329541067,0.20149287376135894,0.29180939364807934,0.17577701794176828,0.21789849193328556,0.13759068387327109,5,-0.025715855819590655,0.7162578190016079,0.7442433320021542,-0.5506912692611857,-0.1405931603466706,0.19386505887992705,-0.22243774330850571,0.22412608119809957,True,0.16471671312028086,True,False,1.0,True,1,4
2020-06-01,247.9019359,0.018097298819181575,0.20571904082913253,0.2939893001182855,0.1749572537981905,0.20988406163983742,0.13815094883295595,6,-0.03076178703094204,0.5549498737739982,0.7286290332514963,-0.5627145561256164,-0.3490692298766392,0.1939493333162014,-0.2201670223058392,0.2241527493131605,True,0.1647361205247107,True,False,1.0,True,1,0
2020-06-02,249.98136211,0.008353115315230485,0.2078289237973283,0.2942817633609723,0.17769033580366522,0.21728769225117692,0.1270891351550764,6,-0.03013858799366309,0.605138456941769,0.6837428437637459,-0.6279550664556733,-0.20255251462260757,0.19228542752348585,-0.21899314396326233,0.22398068982924205,True,0.16477319290477527,True,False,1.0,True,1,1
2020-06-03,249.61824315,-0.0014536401555093538,0.20552442008948157,0.2915883487228373,0.17666213959048035,0.21146780066734583,0.13661943234732046,6,-0.02886228049900122,0.6785521521539689,0.5912997963971602,-0.7772219855763983,-0.373461268832748,0.19371896429839883,-0.21928414244610425,0.22399202505262758,True,0.16481026528483983,True,False,0.0,True,1,2
2020-06-04,249.85572544,0.0009509296693320027,0.2042501441176084,0.2914523346686476,0.17585464642676524,0.20404793329542023,0.17538896774157028,6,-0.028395497690843152,0.7250158657731335,0.5015075800730349,-0.9171337898195118,-0.5757542562320052,0.19955063498115333,-0.2193862671767691,0.22398910541665656,True,0.16485848991506238,True,False,0.0,True,0,3
2020-06-05,256.58435882,0.02657384179177716,0.2197919979221255,0.2960356759851963,0.18871714855479077,0.1983594134540819,0.2652412923619256,6,-0.031074849367334734,0.6415269373172727,0.7977037961671637,-0.38190054608396173,-0.7429373501842645,0.21306612238479095,-0.2090264053921624,0.22447456739766952,True,0.16490671454528494,True,False,0.0,True,1,4
2020-06-08,257.8208452,0.004807450436992433,0.21702490238898633,0.2952424703310798,0.1880540122272408,0.22537926999757013,0.2627646327803693,6,-0.028970890161745533,0.7430961229382997,0.6809939540894007,-0.5751153075547208,-0.08904340491376554,0.21269358598666155,-0.2089114413086944,0.22447515904787557,True,0.1649409017578563,True,False,0.0,True,1,0
2020-06-09,261.21783281,0.01308972243241334,0.21848656533509883,0.2963808135378181,0.1820024671634659,0.21545870858608376,0.30097749969133547,6,-0.03648409817163292,0.45768951796721535,0.7200499453058972,-0.4931761121575185,-0.3769422360295009,0.2184415232111487,-0.21065327059476233,0.22436880646032784,True,0.16497508897042767,True,False,0.0,True,1,1
2020-06-10,267.08380189,0.02220780621341876,0.2301958103554556,0.29381537393467516,0.1868132623277682,0.21449666341729648,0.3626622827463321,6,-0.0433825480276874,0.18344372543751097,0.9023667483067899,-0.15616794510547366,-0.44056112474590314,0.22772008013105566,-0.20252577940984828,0.22387731317467302,True,0.16500829207630213,True,False,0.0,True,1,2
2020-06-11,260.22987938,-0.025997082066167687,0.24728614895684728,0.29063667777288843,0.20277372231169136,0.22740187598904396,0.37917676112041093,6,-0.04451242664515592,0.13754539641328323,1.1112556305891865,0.24142163850666512,-0.10183999505666576,0.23020416972345722,-0.2097104331339786,0.22449203121078629,True,0.16504149518217656,True,False,0.0,True,0,3
2020-06-12,261.91143311,0.006441013201884608,0.2483398430499348,0.2502027102229222,0.20598038232014126,0.24352144092764075,0.2325355899931608,6,-0.04235946072979355,0.20613654163102893,1.0635487505803403,0.2182802080313563,0.3369295862079275,0.20814656676661583,-0.209488342913686,0.22448193067564948,True,0.16508737247383864,True,False,0.0,True,1,4
2020-06-15,258.8572466,-0.011729666727124178,0.2507081437258559,0.2493531214886944,0.2048172576078912,0.23038181489520615,0.1590120658214748,6,-0.04589088611796471,0.0362700295796815,1.1097963912160715,0.39518808235997627,0.0514449423205747,0.1970872394869702,-0.20893849327035963,0.22444659202236672,True,0.1651332497655007,True,False,0.0,True,1,0
2020-06-16,258.93399162,0.0002964322873664622,0.22548420396237337,0.24893141533207103,0.1909719478552928,0.22444511531519812,0.08902881297459253,6,-0.03451225610708056,0.49948359553746025,1.0471570993754369,0.3587147694396766,-0.08973000990085234,0.18656043590883167,-0.2079598388663828,0.22591262362137488,True,0.16518260581389876,True,False,0.0,True,1,1
2020-06-17,261.19805827,0.008705792885037235,0.22654773661481936,0.24004073122176867,0.19320421132924967,0.21417243184580037,0.05517984837961749,6,-0.03334352528556969,0.52492727183162,0.9023150758763864,0.08163489605208679,-0.44222203761583556,0.18146891204962676,-0.21787372400447869,0.22517249875640066,True,0.1652319618622968,True,False,0.0,True,1,2
2020-06-18,261.27812842,0.00030650258391324247,0.21831220246809163,0.227274755647307,0.18758927338486536,0.209759649667167,0.035813697155464445,6,-0.03072292908322627,0.6160054222414594,0.4988522625667353,-1.248701434097539,-0.6058981828901856,0.17855587697754713,-0.21764595729466618,0.22532654960277562,True,0.16526665061963247,True,False,0.0,True,0,3
2020-06-19,263.16813563,0.007207660810137507,0.21628943540647705,0.22654314547464433,0.1827889609919395,0.20300850458470962,0.0275819896062845,6,-0.033500474414537545,0.4651321874069424,0.5106263601483677,-1.1919342921489664,-0.9593762720480994,0.17731767262210668,-0.21774186122634442,0.22532993820749575,True,0.16530133937696817,True,False,0.0,True,1,4
2020-06-22,266.74432293,0.013497480707015428,0.21125781444887518,0.22700762032383096,0.17363954125377737,0.2003051537591509,0.0245996114394113,6,-0.03761827319509781,0.24668553653948863,0.5507179351422272,-1.0264918029280983,-1.1348738971222416,0.1768690665930744,-0.2187853783048893,0.2253921462073247,True,0.16534649797619264,True,False,0.0,True,1,0
2020-06-23,267.45447151,0.002658744294159065,0.2061311655445064,0.22699205150788343,0.1742642991882167,0.20426061295198325,0.018451409308572666,6,-0.031866866356289686,0.49491722831162016,0.5569204808038033,-0.9927899733337763,-0.9032354938924886,0.17594426082087578,-0.2190080031457253,0.22544446360882045,True,0.1653916565754171,True,False,0.0,True,1,1
2020-06-24,266.49936912,-0.003577475564239762,0.19983705721478803,0.2266641653716192,0.16459529274108353,0.19899056550966876,0.016202929545896593,6,-0.0352417644737045,0.3005375514723144,0.499262823587127,-1.1966733312927234,-1.184446785120233,0.1756060469790171,-0.2200137732220804,0.22548371183041227,True,0.16567674447199898,True,False,0.0,True,1,2
2020-06-25,268.48686529,0.007430117583368576,0.196286324586939,0.21717298131440468,0.1598172504516784,0.1952475517950519,0.01485050096018866,6,-0.0364690741352606,0.20844434054333102,0.5748223073441014,-0.8497753497422358,-1.3597480981984411,0.17540261616527147,-0.2211895574161462,0.2254825896953377,True,0.1659618323685809,True,False,0.0,True,0,3
2020-06-26,268.57297691,0.000320677935573052,0.19553095965146525,0.2115837729585093,0.15854353314738254,0.19440988107691617,0.014057669904811708,6,-0.03698742650408271,0.14413892029483535,0.5382727010027445,-0.9728793747004488,-1.394878083817603,0.17528335939381415,-0.2211894945837029,0.22548292859930946,True,0.16599649895373134,True,False,0.0,True,1,4
2020-06-29,269.97094835,0.005191682663026235,0.18559449647198706,0.20797654138163768,0.15626637575097846,0.1910138691284144,0.01488758186252038,6,-0.0293281207210086,0.5511834919245582,0.3449675363007764,-1.7391809186279785,-1.6013148969752806,0.1754081938336345,-0.2220958971602975,0.22570378993353332,True,0.16603116553888178,True,False,0.0,True,1,0
2020-06-30,273.54198776,0.013140775719761164,0.18905535116438585,0.20824619017665727,0.16117999552205825,0.18969539358296122,0.017382584454155296,6,-0.0278753556423276,0.6201886635786782,0.5578223908968052,-0.8082887175236857,-1.671609302601899,0.17578348936707525,-0.2203164530884712,0.2257100363894788,True,0.16633576858763038,True,False,0.0,True,1,1
2020-07-01,274.21069293,0.0024416329697146237,0.18918355353277555,0.20698491263994676,0.15472345111011526,0.19566499778179497,0.01580678215837813,7,-0.03446010242266029,0.1650275859699713,0.5540098075800974,-0.8046974057320753,-1.2403590345357578,0.1755464589266366,-0.2203308590416117,0.22570798496186423,True,0.16664037163637896,True,False,0.0,True,1,2
2020-07-02,275.60785785,0.005082287330512048,0.1900117803741107,0.20070526613454956,0.15599534792653286,0.191867996656313,0.016785934863959844,7,-0.03401643244757785,0.15488183641085507,0.538217594527078,-0.8502009363727999,-1.445995772048498,0.17569374199487597,-0.21894662495679357,0.2254315284386639,True,0.16671123329729853,True,False,0.0,True,0,3
2020-07-06,278.02694756,0.008738992136434347,0.16783625419546921,0.20136265584404756,0.14341555604707293,0.18991762948738197,0.020278165271052088,7,-0.024420698148396286,0.8769420957628737,0.6185387965896878,-0.45470290374937966,-1.5462323080197016,0.1762190394346148,-0.22242075399995787,0.2265310934651806,True,0.16678209495821814,True,False,0.0,True,1,0
2020-07-07,280.38183088,0.0084343132521389,0.1696294095448593,0.20209291595943263,0.14296832029768264,0.1908454572891824,0.02546328717026089,7,-0.026661089247176667,0.7004363879129636,0.6590561958703072,-0.2550895339823448,-1.4296025767953877,0.17699897974234957,-0.22201450178201007,0.22651002618867008,True,0.1669063625654208,True,False,0.0,True,1,1
